source,condition,week,day,date,meal,station,hotbox,meat_type,before_number,before_weight,before_type,before_deducted,after_full_number,after_partial_weights_total
study,control,1,M,2022-10-03,lunch,target,CS1,chicken,8,28,,TRUE,2,12.4
study,control,1,M,2022-10-03,lunch,target,CS2,chicken,8,9,,TRUE,0,9.4
study,control,1,M,2022-10-03,lunch,non_target,CM1,fish,7,4.7,,TRUE,0,0
study,control,1,M,2022-10-03,lunch,non_target,CM2,fish,0,0,,FALSE,0,0
study,control,1,T,2022-10-04,lunch,target,CS1,beef,6,17.7,#3,TRUE,0,0.25
study,control,1,T,2022-10-04,lunch,target,CS2,beef,4,9.7,#1,TRUE,0,56.1
study,control,1,T,2022-10-04,lunch,target,CS2,beef,3,17.7,#3,TRUE,0,0
study,control,1,T,2022-10-04,lunch,non_target,CM1,chicken,2,11,#2,TRUE,0,0
study,control,1,T,2022-10-04,lunch,non_target,CM2,chicken,8,11,#2,TRUE,0,0
study,control,1,W,2022-10-05,lunch,target,CS1,pork,4,25,#3,TRUE,0,0
study,control,1,W,2022-10-05,lunch,target,CS2,pork,5,10,#1,TRUE,1,11.5
study,control,1,W,2022-10-05,lunch,target,CS2,pork,1,25,#3,TRUE,0,0
study,control,1,W,2022-10-05,lunch,non_target,CM1,beef,4,9.5,#2,TRUE,0,0
study,control,1,W,2022-10-05,lunch,non_target,CM2,beef,0,0,,FALSE,0,0
study,control,1,Th,2022-10-06,lunch,target,CS1,chicken,4,24.6,#3,TRUE,0,15
study,control,1,Th,2022-10-06,lunch,target,CS2,chicken,4,10.4,#1,TRUE,1,0
study,control,1,Th,2022-10-06,lunch,target,CS2,chicken,3,24.6,#3,TRUE,1,0
study,control,1,Th,2022-10-06,lunch,non_target,CM1,chicken,17,8.1,#2,TRUE,0,0
study,control,1,Th,2022-10-06,lunch,non_target,CM2,chicken,0,0,,TRUE,0,0
study,control,1,M,2022-10-03,dinner,target,CS1,chicken,16,14.4,#103d,TRUE,8,0
study,control,1,M,2022-10-03,dinner,non_target,CM1,chicken,9,16.5,#8,TRUE,2,0
study,control,1,M,2022-10-03,dinner,non_target,CM2,chicken,0,0,,FALSE,0,0
study,control,1,T,2022-10-04,dinner,target,CS1,beef,10,10.5,#104da,TRUE,0,11.1
study,control,1,T,2022-10-04,dinner,target,CS2,beef,0,0,,FALSE,0,0
study,control,1,T,2022-10-04,dinner,non_target,CM1,chicken,5,10,#104db,TRUE,0,0
study,control,1,T,2022-10-04,dinner,non_target,CM2,chicken,0,0,,FALSE,0,0
study,control,1,W,2022-10-05,dinner,non_target,CM1,chicken,1,10.9,#2,TRUE,0,0
study,control,1,W,2022-10-05,dinner,non_target,CM2,chicken,6,10.9,#2,TRUE,2,0
study,control,1,Th,2022-10-06,dinner,target,CS1,chicken,0,0,,FALSE,0,0
study,control,1,Th,2022-10-06,dinner,target,CS2,chicken,8,12.43,#2,TRUE,0,0
study,control,1,Th,2022-10-06,dinner,non_target,CM1,fish,10.5,8.5,,TRUE,1,22.5
study,control,1,Th,2022-10-06,dinner,non_target,CM2,fish,0,0,,FALSE,0,0
study,intervention,2,M,2022-10-10,lunch,target,CS1,chicken,4,15.1,#3,TRUE,0,0
study,intervention,2,M,2022-10-10,lunch,target,CS2,chicken,2,9.7,#1,TRUE,0,0
study,intervention,2,M,2022-10-10,lunch,target,CS2,chicken,3,8.1,#5,TRUE,0,0
study,intervention,2,M,2022-10-10,lunch,non_target,CM1,fish,6,8.2,#2,TRUE,1,6.1
study,intervention,2,M,2022-10-10,lunch,non_target,CM2,fish,0,0,,FALSE,0,0
study,intervention,2,T,2022-10-11,lunch,target,CS1,pork,1,0,#2,TRUE,0,0
study,intervention,2,T,2022-10-11,lunch,target,CS1,pork,4,27.1,#3,TRUE,0,0
study,intervention,2,T,2022-10-11,lunch,target,CS2,pork,4,9.5,#1,TRUE,0,12.9
study,intervention,2,T,2022-10-11,lunch,target,CS2,pork,1,27.1,#3,TRUE,0,0
study,intervention,2,T,2022-10-11,lunch,non_target,CM1,chicken,0,0,,FALSE,0,0
study,intervention,2,T,2022-10-11,lunch,non_target,CM2,chicken,9,7.25,#2,TRUE,0,16.9
study,intervention,2,Th,2022-10-13,lunch,target,CS1,chicken,4,19,#1,FALSE,0,0
study,intervention,2,Th,2022-10-13,lunch,target,CS2,chicken,5,15.1,#3,FALSE,1,0
study,intervention,2,Th,2022-10-13,lunch,non_target,CM1,chicken,11,11.4,#2,FALSE,1,0
study,intervention,2,M,2022-10-10,dinner,non_target,CM1,chicken,0,0,0,FALSE,0,0
study,intervention,2,M,2022-10-10,dinner,non_target,CM2,chicken,8,9.6,#2,TRUE,0,10
study,intervention,2,W,2022-10-12,dinner,non_target,CM1,chicken,8,12.5,#2,FALSE,4,6.2
study,control,3,Th,2022-10-20,lunch,target,CS1,chicken,4,18.8,#1,FALSE,0,0
study,control,3,Th,2022-10-20,lunch,target,CS1,chicken,2,26.3,#5,FALSE,0,0
study,control,3,Th,2022-10-20,lunch,target,CS2,chicken,4,16.2,#3,FALSE,0,0
study,control,3,Th,2022-10-20,lunch,non_target,CM1,fish,5,9.9,#7,FALSE,0,0
study,control,3,T,2022-10-18,dinner,target,CS1,pork,5,11.2,#3,FALSE,0,3
study,control,3,T,2022-10-18,dinner,non_target,CM1,pork,6,13.5,#2,FALSE,0,12.3
study,control,3,W,2022-10-19,dinner,target,CS1,chicken,7,12.9,#2,FALSE,0,4.7
study,control,3,W,2022-10-19,dinner,target,CS2,chicken,0,0,,FALSE,0,0
study,control,3,W,2022-10-19,dinner,non_target,CM1,chicken,9,17.2,#7,FALSE,0,0
study,control,3,Th,2022-10-20,dinner,target,CS1,chicken,25,13.4,#7,FALSE,12,7.7
study,control,3,Th,2022-10-20,dinner,non_target,CM1,chicken,2,17.1,#3,FALSE,0,4.5
study,control,3,Th,2022-10-20,dinner,non_target,CM2,chicken,8,12.3,,TRUE,3,0
study,intervention,4,T,2022-10-25,lunch,target,CS1,beef,7,23.7,#5,FALSE,0,0
study,intervention,4,T,2022-10-25,lunch,non_target,CM1,chicken,9,15.2,#2,FALSE,6,14.6
study,intervention,4,F,2022-10-28,lunch,target,CS1,chicken,4,27.8,#3,FALSE,0,0
study,intervention,4,F,2022-10-28,lunch,target,CS2,chicken,5,17.8,#1,FALSE,0,0
study,intervention,4,F,2022-10-28,lunch,target,CS2,chicken,2,29.5,#3,FALSE,0,34.8
study,intervention,4,F,2022-10-28,lunch,non_target,CM1,pork,1,22.5,#1028l,FALSE,0,0
study,intervention,4,F,2022-10-28,lunch,non_target,CM2,pork,5,18.1,#2,FALSE,0,32.8
study,intervention,4,W,2022-10-26,dinner,non_target,CM1,pork,8,12.3,#2,FALSE,3,0
study,intervention,4,F,2022-10-28,dinner,target,CS1,pork,8,11.9,#2,FALSE,0,13
study,intervention,4,F,2022-10-28,dinner,target,CS2,pork,4,5.8,#7,FALSE,0,0
study,intervention,4,F,2022-10-28,dinner,non_target,CM1,chicken,12,12.8,#2,FALSE,3,11.9